stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
818,818,Edinburgh at Floral northbound,Edinburgh Road South,43.526836,-80.243419,,,,,,0
819,819,Edinburgh at Lockyer northbound,Edinburgh Road South,43.528501,-80.245757,,,,,,0
820,820,Edinburgh at Municipal northbound,Edinburgh Road South,43.529864,-80.247666,,,,,,0
821,821,Edinburgh at Honey northbound,Edinburgh Road South,43.532364,-80.251167,,,,,,0
824,824,Waterloo at Glasgow eastbound,Waterloo Avenue,43.539094,-80.252129,,,,,,0
901,901,Waterloo at Dublin westbound,Waterloo Avenue,43.54142,-80.249836,,,,,,0
902,902,Waterloo at Glasgow westbound,Waterloo Avenue,43.538904,-80.252508,,,,,,0
903,903,Waterloo at Fergus westbound,Waterloo Avenue,43.536585,-80.254978,,,,,,0
904,904,Waterloo at Edinburgh westbound,Waterloo Avenue,43.535166,-80.256499,,,,,,0
905,905,Waterloo at Hearn westbound,Waterloo Avenue,43.532703,-80.259134,,,,,,0
906,906,Waterloo at Woodycrest westbound,Waterloo Avenue,43.531218,-80.260768,0,,,,,0
907,907,659 Wellington westbound,659 Wellington Street West,43.522828,-80.267652,,,,,,0
916,916,Imperial at Wellington southbound,Imperial Road South,43.520769,-80.269876,,,,,,0
917,917,Wellington at Wastewater Treatment Plant eastbound,Wellington Street West,43.522945,-80.267244,,,,,,0
918,918,Waterloo at Woodycrest eastbound,Waterloo Avenue,43.531139,-80.260627,,,,,,0
919,919,Waterloo at Saint Arnaud eastbound,Waterloo Avenue,43.533613,-80.257992,,,,,,0
920,920,Waterloo at McGee eastbound,Waterloo Avenue,43.536289,-80.255114,0,,,,,0
922,922,Waterloo at Dublin eastbound,Waterloo Avenue,43.541399,-80.249687,,,,,,0
1001,1001,Quebec at Wyndham westbound,Quebec Street,43.54589,-80.249601,,,,,,0
1002,1002,Paisley at Norfolk westbound,Paisley Street,43.545396,-80.252887,,,,,,0
1003,1003,Paisley at Glasgow westbound,,43.543483,-80.256727,,,,,,0
1004,1004,Paisley at Yorkshire westbound,Paisley Street,43.542415,-80.258817,,,,,,0
1005,1005,Paisley at Harrison westbound,Paisley Street,43.54152,-80.260564,,,,,,0
1006,1006,Paisley at Edinburgh westbound,Paisley Street,43.540678,-80.263192,,,,,,0
1007,1007,Paisley at Alma westbound,Paisley Road,43.53891,-80.265595,,,,,,0
1008,1008,Paisley at Western westbound,Paisley Road,43.536482,-80.26891,,,,,,0
1009,1009,Paisley at Heath westbound,Paisley Road,43.534663,-80.271413,,,,,,0
1010,1010,Westwood at Silvercreek westbound,Westwood Road,43.535464,-80.274917,0,,,,,0
1011,1011,Westwood at Margaret Greene Park westbound,Westwood Road,43.532797,-80.278771,,,,,,0
1012,1012,225 Westwood northbound,225 Westwood Road,43.53275,-80.285207,,,,,,0
1013,1013,Willow at Westwood westbound,Willow Road,43.533197,-80.288293,,,,,,0
1014,1014,Willow at Wimbledon westbound,Willow Road,43.531455,-80.290597,,,,,,0
1015,1015,Imperial at Ferman southbound,Imperial Road South,43.527627,-80.2906,,,,,,0
1017,1017,Paisley at Imperial eastbound,Paisley Road,43.526137,-80.2854,,,,,,0
1018,1018,Paisley at Candlewood eastbound,Paisley Road,43.529138,-80.278887,,,,,,0
1019,1019,Paisley at Fischer eastbound,Paisley Road,43.530729,-80.276427,,,,,,0
1020,1020,Paisley at Glengarry eastbound,Paisley Road,43.5345,-80.271478,,,,,,0
1021,1021,Paisley at Memorial eastbound,Paisley Road,43.536692,-80.268457,0,,,,,0
1022,1022,Paisley at Alma eastbound,Paisley Road,43.538765,-80.265631,,,,,,0
1023,1023,Paisley at Edinburgh eastbound,Paisley Road,43.540467,-80.263286,,,,,,0
1025,1025,Paisley at Glasgow eastbound,Paisley Street,43.543293,-80.256863,,,,,,0
